FileName;IBS;CFS;CFS without Floor and Walls;VCIS;NCIS;TotalElementsCount;Error;PipelineDurationSeconds;Module1_Name;Module1_Duration_s;Module1_PromptTokens;Module1_CompletionTokens;Module1_TotalTokens;Module2_Name;Module2_Duration_s;Module2_PromptTokens;Module2_CompletionTokens;Module2_TotalTokens;Module3_Name;Module3_Duration_s;Module3_PromptTokens;Module3_CompletionTokens;Module3_TotalTokens;Module4_Name;Module4_Duration_s;Module4_PromptTokens;Module4_CompletionTokens;Module4_TotalTokens;Module5_Name;Module5_Duration_s;Module5_PromptTokens;Module5_CompletionTokens;Module5_TotalTokens
output_classroom_easy_withoutValidator_o3_2025-05-20_15-49-56;61,62791;73,25581;82,5;96,15478;98,78192;86;;733,491;master_planner;5,820;1157;350;1507;game_objects_size_module;107,591;654;11826;12480;relation_module;88,558;1668;11872;13540;object_placement_module;217,288;18659;15030;33689;json_converter;156,955;14177;14584;28761
output_classroom_easy_withoutValidator_o3_2025-05-20_15-31-20;65,51724;63,7931;86,53846;95,85938;98,60897;58;;714,720;master_planner;10,968;1157;388;1545;game_objects_size_module;111,635;879;12297;13176;relation_module;109,676;2152;13142;15294;object_placement_module;224,365;19744;13071;32815;json_converter;68,510;11827;7599;19426
output_classroom_easy_withoutValidator_o3_2025-05-20_15-49-56;61,62791;73,25581;82,5;96,15478;98,78192;86;;733,491;master_planner;5,820;1157;350;1507;game_objects_size_module;107,591;654;11826;12480;relation_module;88,558;1668;11872;13540;object_placement_module;217,288;18659;15030;33689;json_converter;156,955;14177;14584;28761
output_classroom_easy_withoutValidator_o3_2025-05-21_22-05-41;61,01695;11,86441;88,67924;95,31368;99,3859;59;;561,137;master_planner;6,909;1157;349;1506;game_objects_size_module;49,132;783;6159;6942;relation_module;60,882;2026;8110;10136;object_placement_module;244,590;19042;13304;32346;json_converter;91,249;11820;10670;22490
output_classroom_easy_withoutValidator_o3_2025-05-21_22-06-22;58,06452;16,12903;50,87719;94,44227;95,65823;62;;601,342;master_planner;6,819;1157;346;1503;game_objects_size_module;90,153;924;11786;12710;relation_module;87,999;1627;11536;13163;object_placement_module;211,863;18793;13920;32713;json_converter;80,948;11109;8612;19721
output_classroom_easy_withoutValidator_o3_2025-05-21_22-07-18;63,63636;0;65,30612;93,4774;98,86968;55;;657,830;master_planner;6,548;1157;354;1511;game_objects_size_module;48,418;1165;6907;8072;relation_module;103,413;1788;13500;15288;object_placement_module;243,611;19331;12797;32128;json_converter;103,771;11408;10826;22234
output_classroom_easy_withoutValidator_o3_2025-05-21_22-08-55;63,63636;0;65,30612;93,4774;98,86968;55;;754,682;master_planner;6,066;1157;316;1473;game_objects_size_module;47,175;1119;6440;7559;relation_module;142,897;1297;14742;16039;object_placement_module;288,702;19004;16113;35117;json_converter;80,919;11593;8753;20346
output_classroom_easy_withoutValidator_o3_2025-05-21_22-10-54;72,72727;14,28571;90,14085;95,34653;99,07983;77;;873,909;master_planner;7,133;1157;379;1536;game_objects_size_module;72,508;1039;9486;10525;relation_module;141,906;1948;18154;20102;object_placement_module;289,566;20079;15028;35107;json_converter;150,823;12696;13680;26376
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-22-22;57,89474;9,210526;87,14286;93,29063;98,97318;76;;669,175;master_planner;7,646;1157;338;1495;game_objects_size_module;75,378;552;10453;11005;relation_module;82,637;1195;11824;13019;object_placement_module;238,505;18838;25268;44106;json_converter;152,429;13069;10686;23755
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-22-25;56,89655;12,06897;92,45283;96,04993;99,46388;58;;671,638;master_planner;7,457;1157;325;1482;game_objects_size_module;75,780;629;9222;9851;relation_module;70,507;1892;10085;11977;object_placement_module;157,022;18611;15825;34436;json_converter;156,710;11095;11242;22337
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-32-25;68,51852;12,96296;83,33334;95,52831;98,99729;54;;559,420;master_planner;5,642;1157;311;1468;game_objects_size_module;129,518;552;12499;13051;relation_module;84,648;1632;10095;11727;object_placement_module;164,251;19855;16871;36726;json_converter;77,168;7792;10312;18104
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-33-42;58,06452;19,35484;83,92857;91,88876;98,63084;62;;636,481;master_planner;6,465;1157;328;1485;game_objects_size_module;41,524;670;4849;5519;relation_module;100,047;1436;11681;13117;object_placement_module;187,000;20116;19855;39971;json_converter;196,667;11740;16935;28675
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-42-42;55,22388;0;9,836065;90,00909;96,67355;67;;488,919;master_planner;4,613;1157;327;1484;game_objects_size_module;76,473;873;6183;7056;relation_module;72,686;2214;10207;12421;object_placement_module;122,766;20339;11738;32077;json_converter;122,415;10717;12853;23570
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-43-41;7,407407;74,07407;95,83334;94,99723;98,61331;54;;547,969;master_planner;4,236;1157;296;1453;game_objects_size_module;53,751;1151;6742;7893;relation_module;63,611;2128;7846;9974;object_placement_module;210,697;18756;21382;40138;json_converter;83,140;10632;9762;20394
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-44-32;63,63636;14,54545;96;95,64671;99,07217;55;;598,799;master_planner;5,011;1157;339;1496;game_objects_size_module;55,182;934;6953;7887;relation_module;96,483;1814;13128;14942;object_placement_module;135,852;20044;12987;33031;json_converter;100,432;10737;10000;20737
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-45-44;68,96552;15,51724;96,15385;99,73267;99,85633;58;;671,015;master_planner;5,026;1157;356;1513;game_objects_size_module;85,393;659;11333;11992;relation_module;128,954;1522;14214;15736;object_placement_module;130,693;19682;13093;32775;json_converter;138,455;11179;11530;22709
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-54-55;56,70103;32,98969;55,43478;85,38669;96,08239;97;;1222,743;master_planner;4,800;1157;342;1499;game_objects_size_module;36,881;800;4668;5468;relation_module;107,070;1322;12727;14049;object_placement_module;756,421;11138;16294;27432;json_converter;172,150;8671;20280;28951
output_classroom_easy_withoutValidator_o4-mini_2025-05-21_23-56-42;61,01695;13,55932;15,09434;83,76564;99,3782;59;;598,139;master_planner;5,315;1157;318;1475;game_objects_size_module;71,408;960;8003;8963;relation_module;150,020;1601;19614;21215;object_placement_module;133,424;20040;14651;34691;json_converter;110,905;11526;12113;23639
output_classroom_easy_withoutValidator_o4-mini_2025-05-22_00-05-18;69,49152;79,66102;88,88889;98,81756;98,35793;59;;489,948;master_planner;5,385;1157;397;1554;game_objects_size_module;49,917;1213;6763;7976;relation_module;80,457;1533;9894;11427;object_placement_module;165,099;18234;16062;34296;json_converter;97,298;11881;11660;23541
output_classroom_easy_withoutValidator_o4-mini_2025-05-22_00-05-41;64,81481;62,96296;75,5102;97,9626;99,35241;54;;513,298;master_planner;4,213;1157;308;1465;game_objects_size_module;40,841;689;5086;5775;relation_module;73,703;1662;10470;12132;object_placement_module;196,708;18639;18959;37598;json_converter;77,134;10648;9165;19813
output_classroom_easy_withoutValidator_o4-mini_2025-05-22_00-07-46;69,64286;82,14286;94,11765;98,38441;98,54568;56;;638,319;master_planner;4,801;1157;355;1512;game_objects_size_module;62,471;473;6202;6675;relation_module;84,675;1720;8212;9932;object_placement_module;247,599;18864;25639;44503;json_converter;106,572;10939;13111;24050
output_classroom_easy_withoutValidator_o4-mini_2025-05-22_00-08-28;-1;-1;-1;-1;-1;0;Error;679,534;master_planner;4,663;1157;342;1499;game_objects_size_module;79,346;1014;11298;12312;relation_module;164,272;1835;15369;17204;object_placement_module;159,089;19886;14619;34505;json_converter;67,770;11514;5954;17468
output_classroom_easy_withoutValidator_o4-mini_2025-05-22_00-13-03;62,90322;1,612903;83,92857;96,24813;99,62548;62;;955,303;master_planner;4,262;1157;319;1476;game_objects_size_module;87,012;676;10698;11374;relation_module;136,865;1980;11433;13413;object_placement_module;263,808;19570;27741;47311;json_converter;110,234;11703;10847;22550
output_classroom_easy_withValidator_o3_2025-05-17_14-21-46;66,07143;12,5;31,37255;89,86081;98,30778;56;;1078,312;master_planner;6,973;1157;372;1529;game_objects_size_module;67,651;762;8883;9645;relation_module;109,397;1667;13027;14694;wall_validator_module;12,681;1031;1542;2573;collision_validator_module;5,963;973;528;1501;realign_module;159,973;1094;16795;17889;wall_validator_module;30,394;4434;3504;7938;collision_validator_module;186,743;4376;21509;25885;realign_module;162,286;4962;13816;18778;json_converter;107,725;7128;11660;18788
output_classroom_easy_withValidator_o3_2025-05-17_14-22-06;60,65574;1,639344;1,818182;83,49665;98,27418;61;;1098,124;master_planner;6,230;1157;324;1481;game_objects_size_module;90,751;509;11537;12046;relation_module;84,581;1763;10452;12215;object_placement_module;157,905;19233;12692;31925;wall_validator_module;39,376;9854;4067;13921;collision_validator_module;136,134;9796;13179;22975;realign_module;84,218;10890;9083;19973;wall_validator_module;37,834;8514;4208;12722;collision_validator_module;122,062;8456;11288;19744;realign_module;89,648;10795;9433;20228;json_converter;106,870;10825;10399;21224
output_classroom_easy_withValidator_o3_2025-05-17_14-23-48;69,09091;7,272727;95,91837;94,7606;99,32596;55;;1204,158;master_planner;8,044;1157;337;1494;game_objects_size_module;74,242;717;5319;6036;relation_module;103,495;1517;10804;12321;object_placement_module;137,567;19213;13268;32481;wall_validator_module;22,935;9197;2543;11740;collision_validator_module;61,758;9139;6304;15443;realign_module;183,601;9290;19015;28305;wall_validator_module;81,565;7899;9327;17226;collision_validator_module;181,277;7841;17953;25794;realign_module;182,537;9373;19203;28576;json_converter;63,681;10176;7126;17302
output_classroom_easy_withValidator_o3_2025-05-17_14-24-11;64,81481;79,62963;100;98,80391;99,73462;54;;1223,513;master_planner;6,388;1157;342;1499;game_objects_size_module;78,918;754;9955;10709;relation_module;127,417;1677;13249;14926;object_placement_module;127,153;18445;12161;30606;wall_validator_module;41,501;8961;3632;12593;collision_validator_module;95,837;8903;11692;20595;realign_module;140,363;10357;13179;23536;wall_validator_module;33,657;7763;3181;10944;collision_validator_module;113,309;7705;11790;19495;realign_module;90,057;8181;8600;16781;json_converter;112,896;10138;12412;22550
output_classroom_easy_withValidator_o3_2025-05-17_14-25-29;75;17,85714;76;92,73612;97,77735;56;;1301,202;master_planner;6,346;1157;326;1483;game_objects_size_module;89,276;630;9751;10381;relation_module;78,491;2212;8373;10585;wall_validator_module;6,760;984;425;1409;collision_validator_module;10,448;926;1055;1981;realign_module;232,320;728;23054;23782;wall_validator_module;56,376;8725;5551;14276;collision_validator_module;182,695;8667;20981;29648;realign_module;221,318;9420;20020;29440;json_converter;90,891;11558;10371;21929
output_classroom_easy_withValidator_o3_2025-05-17_14-26-59;22,58064;38,70968;53,84615;98,60521;99,2845;31;;1391,115;master_planner;6,628;1157;313;1470;game_objects_size_module;89,871;1350;10873;12223;relation_module;72,075;2189;7768;9957;wall_validator_module;35,878;869;2461;3330;collision_validator_module;54,596;811;7253;8064;realign_module;38,416;2666;4423;7089;wall_validator_module;46,258;2561;3947;6508;collision_validator_module;458,738;2503;17238;19741;realign_module;60,463;3415;6965;10380;json_converter;72,343;5210;8149;13359
output_classroom_easy_withValidator_o3_2025-05-17_14-28-45;61,01695;22,0339;100;93,58863;99,34315;59;;1496,152;master_planner;8,746;1157;395;1552;game_objects_size_module;85,946;1061;6975;8036;relation_module;84,779;1603;10595;12198;object_placement_module;103,670;19460;11635;31095;wall_validator_module;52,430;8610;5226;13836;collision_validator_module;389,943;8552;20508;29060;realign_module;164,984;9850;15854;25704;wall_validator_module;41,051;8184;3181;11365;collision_validator_module;258,203;8126;25765;33891;realign_module;82,155;8977;9637;18614;json_converter;113,205;10396;13128;23524
output_classroom_easy_withValidator_o3_2025-05-17_14-29-39;65;28,33333;79,62963;97,23656;98,71294;60;;1550,876;master_planner;6,101;1157;342;1499;game_objects_size_module;53,958;690;5089;5779;relation_module;106,609;1797;12208;14005;object_placement_module;152,165;19340;11388;30728;wall_validator_module;46,756;9841;3373;13214;collision_validator_module;167,858;9783;17756;27539;realign_module;146,106;10417;15176;25593;wall_validator_module;86,038;8864;8138;17002;collision_validator_module;272,992;8806;25264;34070;realign_module;273,391;9660;19319;28979;json_converter;101,024;10872;11924;22796
output_classroom_easy_withValidator_o3_2025-05-17_14-31-08;58,73016;15,87302;87,7193;96,23252;99,30462;63;;1640,345;master_planner;6,499;1157;340;1497;game_objects_size_module;157,090;966;16786;17752;relation_module;50,668;1884;6658;8542;object_placement_module;215,053;18259;14364;32623;wall_validator_module;103,323;9563;10200;19763;collision_validator_module;176,035;9505;16021;25526;realign_module;186,314;11176;19718;30894;wall_validator_module;66,085;8541;6066;14607;collision_validator_module;180,703;8483;17128;25611;realign_module;76,807;9279;9158;18437;json_converter;174,095;10822;19517;30339
output_classroom_easy_withValidator_o3_2025-05-17_14-32-31;58,73016;15,87302;87,7193;96,23252;99,30462;63;;1723,749;master_planner;6,185;1157;311;1468;game_objects_size_module;98,029;737;7734;8471;relation_module;99,570;2303;10328;12631;object_placement_module;158,272;19490;14395;33885;wall_validator_module;35,236;9682;3708;13390;collision_validator_module;253,546;9624;22946;32570;realign_module;199,372;10188;16153;26341;wall_validator_module;75,270;8979;8304;17283;collision_validator_module;222,048;8921;25628;34549;realign_module;88,477;8856;9296;18152;json_converter;96,442;11507;10414;21921
output_classroom_easy_withValidator_o3_2025-05-17_16-03-34;68,65672;7,462687;24,59016;84,14467;96,3789;67;;791,578;master_planner;7,113;1157;387;1544;game_objects_size_module;38,218;705;3576;4281;relation_module;88,311;1313;10533;11846;wall_validator_module;23,213;929;2682;3611;collision_validator_module;13,646;871;1261;2132;realign_module;34,836;989;3267;4256;wall_validator_module;34,951;1670;4344;6014;collision_validator_module;93,238;1612;11136;12748;realign_module;47,557;3046;4334;7380;json_converter;159,532;5274;17483;22757
output_classroom_easy_withValidator_o3_2025-05-17_16-04-33;66,66666;0;14,81481;91,94838;97,50668;60;;863,536;master_planner;7,127;1157;348;1505;game_objects_size_module;117,685;910;12718;13628;relation_module;43,139;2663;4859;7522;wall_validator_module;22,012;892;2162;3054;collision_validator_module;43,426;834;4652;5486;realign_module;8,031;1008;756;1764;wall_validator_module;69,575;1170;6835;8005;collision_validator_module;110,335;1112;11506;12618;realign_module;46,545;2706;4819;7525;json_converter;100,455;5829;10852;16681
output_classroom_easy_withValidator_o3_2025-05-17_16-06-58;57,14286;100;100;99,99999;99,99999;35;;995,435;master_planner;4,956;1157;279;1436;game_objects_size_module;62,801;410;7430;7840;relation_module;75,064;1418;8836;10254;object_placement_module;88,288;18632;7824;26456;wall_validator_module;44,757;6277;4784;11061;collision_validator_module;99,421;6219;11725;17944;realign_module;107,329;6404;11160;17564;wall_validator_module;45,240;5426;4223;9649;collision_validator_module;146,800;5368;13552;18920;realign_module;116,695;6057;11992;18049;json_converter;117,539;7707;7527;15234
output_classroom_easy_withValidator_o3_2025-05-17_16-10-56;57,14286;100;100;99,99999;99,99999;35;;1233,883;master_planner;5,533;1157;324;1481;game_objects_size_module;95,414;829;11601;12430;relation_module;65,434;1892;7743;9635;wall_validator_module;49,584;880;5188;6068;collision_validator_module;92,298;822;5346;6168;realign_module;53,736;2657;5560;8217;wall_validator_module;36,457;2480;3696;6176;collision_validator_module;135,073;2422;14932;17354;realign_module;40,036;3309;4248;7557;json_converter;190,391;4167;12136;16303
output_classroom_easy_withValidator_o3_2025-05-17_16-12-15;63,33333;18,33333;38,18182;0;69,9235;60;;1314,402;master_planner;6,252;1157;327;1484;game_objects_size_module;59,936;600;7024;7624;relation_module;93,836;1959;10194;12153;object_placement_module;126,020;19764;12348;32112;wall_validator_module;14,822;8621;1199;9820;collision_validator_module;154,855;8563;16441;25004;realign_module;150,677;9132;16263;25395;wall_validator_module;112,309;8140;9815;17955;collision_validator_module;123,798;8082;13506;21588;realign_module;14,368;8463;1083;9546;json_converter;145,160;3374;13420;16794
output_classroom_easy_withValidator_o3_2025-05-17_16-14-23;66,07143;14,28571;25,4902;94,6794;98,71404;56;;1442,517;master_planner;5,862;1157;328;1485;game_objects_size_module;58,936;918;6577;7495;relation_module;99,882;1774;12820;14594;object_placement_module;247,346;19297;12728;32025;wall_validator_module;79,246;8813;8180;16993;collision_validator_module;172,948;8755;14781;23536;realign_module;153,721;10017;17009;27026;wall_validator_module;40,791;7804;4919;12723;collision_validator_module;249,342;7746;26344;34090;realign_module;126,363;8802;13746;22548;json_converter;93,178;10086;8522;18608
